S,T,K,r,v0,kappa,theta,xi,rho,call,put
116.666667,1.700000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,28.087633,3.272195
70.512821,0.350000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.000160,27.752563
147.435897,1.900000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,57.695788,1.197184
106.410256,1.950000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,20.516249,4.816227
111.538462,0.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,17.608252,2.389232
78.205128,1.700000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,2.786466,16.432566
114.102564,0.300000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,16.344277,0.752907
96.153846,0.900000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,7.248812,6.694714
139.743590,1.350000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,47.295246,1.024428
52.564103,0.700000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.000001,43.996440
85.897436,1.000000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,2.780424,12.005931
91.025641,0.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,3.621977,8.915778
150.000000,1.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,59.241965,0.863852
52.564103,1.850000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.196582,38.797400
67.948718,1.200000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.132366,26.360102
55.128205,1.400000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,-0.000184,38.110993
116.666667,0.550000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,20.636011,1.256813
60.256410,1.150000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.007188,34.162967
139.743590,1.450000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,47.850871,1.113856
